comment,polarity,sentiment,emotion,comment_category
look hoodlum far removed reality ground man must go insensitive speech mean nothing hungry kenyan remove,-0.2263,negative,anger,critical or negative feedback
love solidarity called australia stay strong ❤,0.9313,positive,joy,supportive or appreciative
ruto leave sit someone sense mr man u senseless,-0.0516,negative,sadness,critical or negative feedback
supporting kenyan🇰🇪 people sierra leone 🇸🇱,0.4404,positive,neutral,supportive or appreciative
must go william ruto,0.0,neutral,sadness,critical or negative feedback
mr speaker sir died may soul rest eternal peace,-0.0258,neutral,sadness,critical or negative feedback
get tired,-0.4404,negative,sadness,critical or negative feedback
dude bidding colonialist zionist entity,0.0,neutral,neutral,critical or negative feedback
nation kenya rejected icc inductee,-0.5106,negative,sadness,critical or negative feedback
mr speaker sir undress,0.0,neutral,neutral,question or inquiry
larry madawa 😅😅😅,0.7579,positive,neutral,sarcastic or humorous
sent police haiti deployed kdf bigger criminal haiti gang,-0.5267,negative,anger,critical or negative feedback
got new advisor feel sorry past one people want guy go coz think smarter,0.4588,positive,sadness,critical or negative feedback
even voted lead kenya last check corrupted forced way inn hacking system stealing vote ruto cold hearted zakayo sick tired leadership,-0.9169,negative,sadness,critical or negative feedback
us grammar speak trash kenyan fighting right living life labeled group criminal ruto jerk leadership representation people satisfaction need common sense deprived black politician ghanaian youth support youth kenya fight corruption criminality useless economic oppression ❤,-0.7184,negative,anger,critical or negative feedback
step war end,-0.5994,negative,neutral,critical or negative feedback
instead president use right word said criminal,-0.5267,negative,anger,critical or negative feedback
influenced trump jan,0.0,neutral,neutral,critical or negative feedback
nigeria next line,0.0,neutral,neutral,supportive or appreciative
whole person burnt church parent child inside calling employee criminal ashamed real,-0.7579,negative,anger,critical or negative feedback
clip seen larry literally dismissing people fighting literally patronizing making protestors look stupid disappointed larry biggest thing need accountability giving salary government want free healthcare education housing going case happens kenya,-0.4588,negative,sadness,critical or negative feedback
rutto danger call people criminal happy outcome shame,-0.7351,negative,fear,critical or negative feedback
killng year ald angering young one know generation rutto done carrier end shameful way shame rutto,-0.8591,negative,anger,critical or negative feedback
supporting kenya dr congo power people 🇨🇩,0.4404,positive,joy,supportive or appreciative
come plan kenyan sure planning good way pay member parliament huge amount government sector living lavish yet ordinary citizen ha struggle change young people want win certain people making wave,0.9081,positive,joy,supportive or appreciative
ruto go kenya peace,0.5423,positive,neutral,supportive or appreciative
mr speaker sir😂😂😂 guy legendary,0.8271,positive,neutral,sarcastic or humorous
obama leave usa bring democracy,-0.0516,negative,neutral,critical or negative feedback
ruto traitor must go making life kenyan difficult,-0.3612,negative,anger,critical or negative feedback
resign soon possible,-0.34,negative,neutral,critical or negative feedback
kenyan thought raila wa wrong knew ruto well since warned u rejected regret believer jesus christ know life spiritual happen kenyan know ruto dark secret book wa found parliament dark money research book blood child hand god intervention show shall glorify mighty name ruto used name god manipulate u god 👁 watching,0.4588,positive,sadness,critical or negative feedback
understand frustration destroy property kenyan enough,-0.765,negative,anger,critical or negative feedback
head criminal calling unarmed people criminal kwenda huko,-0.7783,negative,anger,critical or negative feedback
thinking see want happen west african country like israel destroy country small reason dont make,-0.1779,negative,sadness,critical or negative feedback
selassie son brave ones🇰🇪,0.5267,positive,joy,supportive or appreciative
ruto flying usa private jet sending fatgers son relative haiti die kenyan withou mercy went comedy peace african leader change african esp young generation r tired,0.1779,positive,sadness,sarcastic or humorous
called insurrection 😂,0.4404,positive,anger,sarcastic or humorous
took long address nation many life lost wa use damage ha occure economy kenya wa dropping day day something wrong something adding know kenya belongs god god always fight u,-0.6808,negative,sadness,critical or negative feedback
la,0.0,neutral,neutral,supportive or appreciative
uganda shouid follow,0.0,neutral,neutral,supportive or appreciative
simular happen january washington dc 😮,0.0,neutral,neutral,sarcastic or humorous
know record injustice time pay back enjoy icc,-0.2263,negative,anger,supportive or appreciative
😂😂😂you speaking english please dont let multitude cook one person cant finish food,0.7351,positive,neutral,sarcastic or humorous
😂😂😂😂 violence take force,0.7579,positive,anger,sarcastic or humorous
see calling brother criminal mad people everywhere,-0.765,negative,anger,critical or negative feedback
kenya surely go,0.4404,positive,neutral,supportive or appreciative
beginning biafrans kidnapped mnk,0.0,neutral,fear,critical or negative feedback
anytime government resort imf assistance tax must impose basic need like bread etc apliances etc tax kenyan one paying tax world government implement tax,0.0772,positive,anger,supportive or appreciative
people protest peacefully support violence vandalising people property burning building,-0.0,neutral,anger,critical or negative feedback
proud kenyan african leader fool enough language understand wish get president lash well african youth suffering foolish leader ghana among hope get courage kenyan enough enough,0.7096,positive,anger,supportive or appreciative
citizen kenya elected pussyhole look affair went road walked must happen citizen kenya must go silent rudeness working behalf citizen,-0.3612,negative,anger,critical or negative feedback
foolish african leader wait coming,-0.2732,negative,neutral,critical or negative feedback
support ghana,0.4019,positive,neutral,supportive or appreciative
nyoka wewe,0.0,neutral,neutral,supportive or appreciative
watch movie manchurian candidate,0.0,neutral,neutral,critical or negative feedback
revolution televised,0.0,neutral,anger,supportive or appreciative
supporting kenya amerikkk abibitumi black power,0.4404,positive,neutral,supportive or appreciative
nepal 🇳🇵 im following news cnn despite gov kenyan removing protested tax law still people attacked government believe government leant voice people acted accordingly despite decision sane person accept victory return regular life gradually thing settle,-0.2263,negative,anger,critical or negative feedback
criminal,-0.5267,negative,anger,critical or negative feedback
people angry hungry,-0.5106,negative,anger,critical or negative feedback
proud youth 💯,0.4767,positive,joy,supportive or appreciative
event day marked beginning end ruto oppressive regime,-0.4019,negative,anger,critical or negative feedback
criminal international court justice indictment boot,0.0,neutral,anger,critical or negative feedback
ruto must go charged icc,-0.2023,negative,anger,critical or negative feedback
president ruto ha problem right beginning inauguration disobey role law using force self instrest political,-0.0772,negative,anger,critical or negative feedback
come mr president kenyan people breach parliament criminal opposing imf austerity measure went washington dc told imf usa government doent keep benguet african leader nothing,-0.5267,negative,anger,critical or negative feedback
president william ruto unwise black man imf rob exploit kenyan money pay imf loan,-0.6597,negative,anger,critical or negative feedback
ruto threat kenya treasury threat world bank threat imf threat usaid finance related organization,-0.9153,negative,fear,critical or negative feedback
shameless security force going benefit withdrawal killer tax bill,-0.296,negative,disgust,critical or negative feedback
magufuli 😢😢😢,-0.8519,negative,neutral,critical or negative feedback
coward remaining african country suffering hand nation demostrating get,-0.4404,negative,sadness,critical or negative feedback
ruto sick cr zy lead,-0.5106,negative,neutral,critical or negative feedback
shall well williams ruto n cabinet,0.2732,positive,neutral,supportive or appreciative
kenya n africa useless leader n thief,-0.7351,negative,sadness,critical or negative feedback
uhuru lghing😅,0.3612,positive,neutral,sarcastic or humorous
voted u criminal,-0.5267,negative,anger,critical or negative feedback
african president puppet wicked,-0.5267,negative,anger,critical or negative feedback
mr lie,0.0,neutral,neutral,critical or negative feedback
well done kenya colonizer must go,0.2732,positive,neutral,supportive or appreciative
demonstration africa usually genuine opposition party infiltrate demonstration make government unpopular nowhere world demonstration must turn violent saw demonstration america serious protest killing blackman police officer also deployed army police prevent opposition leader kenya seems cashing violence question many child family member among dead,-0.9459,negative,anger,critical or negative feedback
misusing money laughing u,0.4939,positive,neutral,sarcastic or humorous
proud mother genz generation ha brought sanity kenya,0.6705,positive,joy,supportive or appreciative
typical kenyan government low want extort people make sure parliament maximum security guarded,0.4404,positive,neutral,critical or negative feedback
ruto one breeching security taking people life breech security jail time😤,0.5859,positive,joy,sarcastic or humorous
bad reporting awful nuance missed larry seriously took moment said nothing youo know new kind protest mention,-0.7906,negative,anger,critical or negative feedback
africa leader criminal,-0.5267,negative,anger,critical or negative feedback
democratic thief instrument neo colonization africa free bandit call leader,-0.0258,neutral,neutral,critical or negative feedback
writes provocative speech tyrant african leader sound alike everytme 😢,-0.4767,negative,anger,critical or negative feedback
first lady get annual alocation ridiculous first start cutting excessive spending mr ruto african government waste steal much money let message african government people longer sit watch cheat,-0.9001,negative,anger,critical or negative feedback
american feel good seeing africa going situation wahala one day table soon turn,0.4404,positive,joy,supportive or appreciative
guy terrible threat constitution doe unconstitutional,-0.7579,negative,fear,critical or negative feedback
criminal kenyan people,-0.5267,negative,anger,critical or negative feedback
calling people criminal true criminal,-0.6124,negative,anger,critical or negative feedback
ethiopian people embarrassed ethiopian ready slaved century ethiopia failed state people keeping quiet,-0.5106,negative,sadness,critical or negative feedback
tag kenyan pay tax criminal,-0.5859,negative,neutral,critical or negative feedback
support brother sister kenya ghanaians quite like mumu need proud kenyan love ghana🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭,0.9152,positive,joy,supportive or appreciative
kudos complaining shell without action despite terrible situation nigeria worse country africa,-0.4118,negative,sadness,critical or negative feedback
violence looting wateva murder conducted police say support ruto without saying support ruto,-0.854,negative,anger,supportive or appreciative
criminal see x icc hague suspect killed people suppress evidence,-0.8779,negative,anger,critical or negative feedback
organized criminal ruto one leave regret moment certainly define future politics,-0.6124,negative,sadness,critical or negative feedback
kenya police always problem,-0.4019,negative,sadness,critical or negative feedback
sorry say listening mr ruto conclude wise ha respect people governs accepting losing power,0.8074,positive,sadness,critical or negative feedback
south africa support people kenya arrogant western puppet rotten ruto,-0.5859,negative,anger,supportive or appreciative
fight right dont need people country help wa youth uprising helped south africa politician worried pocket dont care citizen clue struggle people ground aluta continuum 👊👊👊,-0.7208,negative,fear,supportive or appreciative
president ruto sister brother kenyan kenya criminal president ruto child criminal president ruto government criminal true president ruto killing poor woman child president ruto killing poor men child president ruto child president ruto stop killing please,-0.9812,negative,anger,critical or negative feedback
wish american like kenyan raised tax,0.6369,positive,sadness,critical or negative feedback
chakwele nex presidnt 🇲🇼,0.0,neutral,neutral,supportive or appreciative
real thief thug ruto government bandit robbing people smart suit smooth talk doe disguise state murderer,-0.8074,negative,anger,critical or negative feedback
democracy bt hooligan forget tax required renovate damaged property,-0.743,negative,neutral,critical or negative feedback
see need security force defending kenya kenyan kenya form threat citizen legitimately calling leader listen boss direction country taking big mistake calling branding kenyan criminal seen often time drunk leader called citizen criminal instead listening voice kenyan taxed people earth numerous high tax ha never best economic tool spare growth economic development case tlsuch tax stifle economic growth reducing private sector employment investor would come country government must first work creating job show willingness seriousness fighting corruption reducing appetite borrowing implementing austerity measure cut back unnecessary expenditure government economic advisor know well part racket benefit loot would instead advise otherwise,-0.6973,negative,fear,critical or negative feedback
bad making situation worse kenyan 😮,-0.765,negative,disgust,critical or negative feedback
know something world fed politician,0.0,neutral,neutral,informative or analytical
leaned jan say america set trend,0.0,neutral,neutral,supportive or appreciative
drunk leader problem africa branding citizen legitimately calling government listen flight serious gross mistake drunk leader shortsighted leader like problem africa today,-0.91,negative,disgust,critical or negative feedback
well try protest rwanda see happens lol😂 kudos kenyan youth wing,0.8442,positive,anger,sarcastic or humorous
nigerian protester truly dangerous criminal bad governance care welfare suffering citizen let lesson african leader care suffering people make human friendly policy selfish one loot government treasury personal pocket end forcing helpless citizen bear consequence action african leader potential like west chosen way round,-0.7579,negative,anger,critical or negative feedback
doe call people fighting right criminal,-0.7096,negative,anger,critical or negative feedback
calling people criminal criminal u,-0.7783,negative,anger,critical or negative feedback
togolese must muster courage give ruling party kind torrid time good example shown kenyan kudos bros,0.9382,positive,fear,supportive or appreciative
togolese failed,-0.5106,negative,sadness,critical or negative feedback
kenya ruto problem roaming allover borrowing money money borrowing use citizen kenya spending money want kenyan carry burden finance bill thief killer big liar,-0.946,negative,anger,critical or negative feedback
encouraging kill people african politician weak,-0.6369,negative,anger,critical or negative feedback
unbelievable god take control,0.4404,positive,surprise,critical or negative feedback
citizen country,0.0,neutral,neutral,supportive or appreciative
corrupt greedy african leader problem,-0.6124,negative,anger,critical or negative feedback
must resign capable ruling country,0.0516,positive,anger,critical or negative feedback
ruto must explain tourism money money got selling kenyan land arab must resign,-0.34,negative,neutral,critical or negative feedback
ruto liar,-0.5106,negative,anger,critical or negative feedback
problem africa museveni family anita among anita among speaker uganda must go,-0.4019,negative,sadness,critical or negative feedback
mr president persuasion fails force must applied deviance sometimes necessary societal conformity sure citizen kenya tried reasonable dialogue government issue refused listen expect,-0.4019,negative,anger,critical or negative feedback
ruto using power borrow money country benefit taxing kenyan pay world help u,0.6486,positive,neutral,supportive or appreciative
many youth died president ruto hand icc take action towards criminal,-0.5859,negative,anger,critical or negative feedback
ruto emerson munangangwa president zimbabwe must go,0.0,neutral,sadness,critical or negative feedback
unarmed youth police kept triggering,0.0,neutral,anger,critical or negative feedback
liberia president head security institution stand speak,0.34,positive,neutral,supportive or appreciative
child high dry bone ancestor ezekiel spoke chapter holy book fear sonini love support guyana 🇬🇾,0.5719,positive,fear,supportive or appreciative
criminal gangster,-0.5267,negative,disgust,critical or negative feedback
even ruto big criminal,-0.5267,negative,anger,critical or negative feedback
african police officer killing innocent youth nothing,-0.4588,negative,anger,critical or negative feedback
sorry wonderful people kenya,0.5267,positive,surprise,supportive or appreciative
know role playing cnn,0.2023,positive,neutral,supportive or appreciative
unfolded police started firing live bullet opened gate let inn use excuse shot innocent young people armed impunity fighting president borrowing trillion without accountability building private business mall dubai expense like,0.0772,positive,anger,critical or negative feedback
usa ruto puppet blame kenyan usa must stay away africa,-0.34,negative,sadness,critical or negative feedback
trump alive,0.3818,positive,neutral,supportive or appreciative
african president liked west always bad people,-0.1779,negative,anger,critical or negative feedback
call organized criminal ua drunk power current generation remove office end year,-0.7003,negative,neutral,critical or negative feedback
ruto president huge protest ensued better resign let people wish prevail good,0.7506,positive,anger,critical or negative feedback
africa american u work dollar per hour week paid end month u pay bill america thing africa every president africa must learn parliament burnt down😂😂😂,0.8074,positive,anger,sarcastic or humorous
president need go good leader calling people criminal fighting right calling criminal shame african leader,-0.8591,negative,anger,critical or negative feedback
cant hide generation,0.1326,positive,neutral,critical or negative feedback
survives people care future,0.4939,positive,neutral,supportive or appreciative
person got kill criminal apology threat man ha respect black people,-0.7783,negative,fear,critical or negative feedback
nooooooooooooooooooooooo man ha respect kenyan people ha go people kenya criminal,0.5423,positive,anger,critical or negative feedback
like mr speaker sir guy courageous😅,0.8126,positive,joy,supportive or appreciative
calling u criminal 😂,-0.128,negative,anger,critical or negative feedback
support majirani tz,0.4019,positive,neutral,supportive or appreciative
simple ruto western clown must go 🤡,0.0,neutral,sadness,critical or negative feedback
criminal infact wanted one,-0.5267,negative,anger,critical or negative feedback
like violent republican america,-0.34,negative,anger,critical or negative feedback
proud kenyan guy made day country nigeria youth busy fighting country shamble,0.1531,positive,joy,supportive or appreciative
speech wa ai generated,0.0,neutral,neutral,supportive or appreciative
u african leader criminal put u power u put u hunger twat resource,-0.8689,negative,anger,critical or negative feedback
mr speaker sir😂😂,0.7003,positive,neutral,sarcastic or humorous
ruto criminal must go,-0.5267,negative,sadness,critical or negative feedback
demonstration must happen africa country corrupt,0.1027,positive,anger,critical or negative feedback
one person blame ruto,-0.34,negative,anger,critical or negative feedback
disgrasr,0.0,neutral,sadness,critical or negative feedback
disgusting,-0.5267,negative,disgust,critical or negative feedback
go home,0.0,neutral,neutral,critical or negative feedback
ruto let say absolutely insane,-0.4576,negative,disgust,critical or negative feedback
absolute disgrace,-0.4939,negative,disgust,critical or negative feedback
knew ruto wolf sheep clothing first day assumed office wannabe dangerous threat african people,-0.7579,negative,fear,critical or negative feedback
behind u guy brother uganda,0.0,neutral,neutral,supportive or appreciative
anarchy chaos africa lawlessness,-0.5719,negative,anger,critical or negative feedback
go ruto u r wanted imf world bank keep kenya affair stop drafting budget keep,-0.296,negative,neutral,critical or negative feedback
nigeria wake,0.0,neutral,fear,supportive or appreciative
due imf increasing loan amount ruto afford pay usa european country,-0.1027,negative,neutral,critical or negative feedback
stupid response saddled name calling typical african leader god bless kenyan youth strength kenyan youth,0.5719,positive,sadness,critical or negative feedback
giving priority imf instead unemployed reduce office spent billion furniture another billion ongoing renovation state mention member parliament takimg million citizen afford feed pay school fee 😢,-0.2732,negative,sadness,critical or negative feedback
ruto sellout must go,0.0,neutral,sadness,critical or negative feedback
trump black people need,0.0,neutral,neutral,critical or negative feedback
mr puppet ruto today,0.0,neutral,neutral,supportive or appreciative
think wisdom resign instead calling voter longer want criminal go presidency important nation full ruto,-0.0772,negative,neutral,critical or negative feedback
cnn tell west stop spreading fake new stop playing every country stuff fix haiti stop using urcraine tell france pay haiti back money wicked western oppression u roto close ur mouth stop fool u puppet west u must go,-0.9413,negative,anger,critical or negative feedback
look western stooge step ruto speaking people forgotten servant dare call people criminal criminal finance bill ha caused blame others blame,-0.8779,negative,anger,critical or negative feedback
ghanaians angry enough,-0.5106,negative,anger,critical or negative feedback
criminal let truth youth tired greedy corrupt african leader occupied power serve interest self enrichment looting state resource abandoning voter subject unbearable economic crisis,-0.875,negative,anger,critical or negative feedback
kenyan going bring peace stability haiti treat citizen brutality haitian,0.296,positive,anger,critical or negative feedback
kenya supporting ghana,0.4404,positive,neutral,supportive or appreciative
people wa addressing everyone wa street demostrating ruto resign hate,-0.7269,negative,anger,critical or negative feedback
rejected bad apple world politics hate thanks kenya glorious globally known stupidity incompetence,-0.8625,negative,anger,critical or negative feedback
corrupt incompetent president ever history world,-0.4767,negative,anger,critical or negative feedback
kenyan hero oppressive criminal government 👏👏👏,-0.3612,negative,anger,supportive or appreciative
tax,0.0,neutral,neutral,critical or negative feedback
ruto must go period,0.0,neutral,neutral,critical or negative feedback
larry madowo doe really know happened whole kenya protested requested president discussion tax bill instead president forced bill passed matter what😢,-0.7579,negative,anger,critical or negative feedback
praying public safety hope police stop assaulting innocent people politician listen voter please destroy property innocent citizen,0.6486,positive,anger,supportive or appreciative
speech wa ai generated 😂,0.4404,positive,neutral,sarcastic or humorous
meanwhile museveni milking every coin poor ugandan god take away man🙏🏾,-0.25,negative,anger,sarcastic or humorous
implicated murder justifying sad,-0.8316,negative,sadness,critical or negative feedback
former president begged country men elect group people warning come pas,-0.34,negative,fear,critical or negative feedback
hate take😢😢😢,-0.9186,negative,anger,critical or negative feedback
mass loses fear politician loses power 💪,-0.7783,negative,fear,critical or negative feedback
proud kenyan youth lagos nigeria 🇳🇬 charge kenyan intimidated police military brutality continue fight faith unearned suffering redemptive 🇰🇪 🇳🇬,-0.7717,negative,fear,supportive or appreciative
blame biden violence nairobi since president visited u came back thick head kenyan people return president default setting like phone make apologize national television,-0.5574,negative,anger,critical or negative feedback
yaya,0.0,neutral,neutral,supportive or appreciative
wow,0.5859,positive,surprise,supportive or appreciative
ruto also ha disadvantage coming minority tribe know african tribalistic,-0.1027,negative,neutral,critical or negative feedback
african leader criminal wonder military men supporting,-0.128,negative,surprise,supportive or appreciative
cnn going debate tonight note band cnn,0.0,neutral,neutral,critical or negative feedback
killing child biggest liar ever seen,-0.8271,negative,anger,critical or negative feedback
money make inocent blood haiti enough rebuild country joke,0.296,positive,joy,sarcastic or humorous
see kind violence argentina inflation ha higher decade wonder difference 🤔,0.1779,positive,joy,critical or negative feedback
heard 🇰🇪 ows imf,0.0,neutral,neutral,supportive or appreciative
fiery mostly peaceful behaviour wherever saying white south african p dig larry accent 👍🏻,0.2023,positive,joy,sarcastic or humorous
jamaica people unu see people stand justice unu drop asleep afraid andrew minion,0.3182,positive,fear,critical or negative feedback
criminal trying starve voter death,-0.8807,negative,anger,critical or negative feedback
ruto must goo,0.0,neutral,neutral,critical or negative feedback
ruto must go icc come client please 🙏 kenyan tired hypocrisy criminal murderer mr ruto😢😢😢😢god help u,-0.9601,negative,anger,critical or negative feedback
ont dare call u criminal cnn knotty apologize remember said hot bed terrorrr people want,-0.4019,negative,fear,critical or negative feedback
want president trump back office biden ruto term respect joe,0.5267,positive,neutral,supportive or appreciative
good god african destroy wherever go,0.128,positive,neutral,critical or negative feedback
puppet leave power,-0.0516,negative,neutral,critical or negative feedback
fool arrogant end badly,-0.8481,negative,anger,critical or negative feedback
kenyan people sick tired sick tired ruto puppet leader africa need go,-0.9081,negative,sadness,critical or negative feedback
dictator killing kenyans🇰🇪 reason,-0.6597,negative,anger,critical or negative feedback
politician always greedy,-0.3182,negative,anger,critical or negative feedback
u call people voted u criminal 😢 ruto must go,-0.7579,negative,anger,critical or negative feedback
people allowed president call criminal wait force listen admit criminal stupid,-0.8555,negative,anger,critical or negative feedback
building mations house hustler money fair,0.3182,positive,neutral,supportive or appreciative
allocating billion wife deputy wife retired president never given another unconstitutional office wife well unnecessary renovation proposed purchase new car family,0.2732,positive,anger,critical or negative feedback
useless security issue nonesense diaspora speaking,-0.1027,negative,anger,spam or irrelevant
parliament without citizen 😂😂😂😂❤,0.9413,positive,neutral,sarcastic or humorous
african politician ignorant dare call kenyan criminal ruto criminal selling land white american going happen colonisa african black people waking,-0.836,negative,fear,critical or negative feedback
president threatens child shame ruto traitor work american 🇺🇸,-0.6908,negative,fear,critical or negative feedback
speed macky sall criminal group infiltrating 😂😂😂,0.6486,positive,neutral,sarcastic or humorous
resign,-0.34,negative,neutral,critical or negative feedback
big fool president right thing,-0.4404,negative,anger,critical or negative feedback
god 🙏 ruto taste reality hayti belong lord king wich creator,0.2732,positive,surprise,supportive or appreciative
petition prosecuted international criminal court,-0.7184,negative,anger,critical or negative feedback
cnn part fake news medium pushing crazy narrative around world question biden win last election u corruption spilling world biden ruto west african leader thief,-0.6249,negative,anger,question or inquiry
call u criminal must biggest criminal actually africa,-0.7783,negative,anger,critical or negative feedback
😂😂 playing key role haiti savagery ruto,0.4767,positive,joy,sarcastic or humorous
get ruto puppet power,0.0,neutral,neutral,critical or negative feedback
still better thiefinbu president nigeria know african president criminal 😢,-0.5574,negative,anger,critical or negative feedback
ruto probably go love 🇺🇸,0.6369,positive,neutral,supportive or appreciative
thief calling u criminal shame,-0.872,negative,anger,critical or negative feedback
people kenya sorry innocent young boy lost life may soul rest peace,0.5106,positive,sadness,critical or negative feedback
well done kenyan support president ruto hypocrite kenyan nigeria gon na happen soon nigeria president ha capacity stay away,0.7351,positive,neutral,supportive or appreciative
isolate crime beging,-0.6486,negative,neutral,critical or negative feedback
go kenya 🇰🇪 need go,0.0,neutral,neutral,supportive or appreciative
reversed psychology listen ca play mind daily basis,0.34,positive,neutral,informative or analytical
ruto president ha failed kenyan president calling protester criminal instead sitting find way solve problem nonsense 🙄 criminal also thief ruto must go,-0.9403,negative,anger,critical or negative feedback
yoo talking good voter take care good people god bless,0.9169,positive,joy,supportive or appreciative
president ruto criminal ditactor rule democratic country like kenya let go uganda assist idol museven,-0.2263,negative,anger,critical or negative feedback
view ruto criminal,-0.5267,negative,anger,critical or negative feedback
leader indicted look like usa january,0.3612,positive,neutral,critical or negative feedback
since voted ruto interested satisfying need nato puppet ha forgotten people kenya becoming nato ally sacrificing nation,0.7351,positive,sadness,supportive or appreciative
icc done job suggest kenya get icc,0.0,neutral,neutral,supportive or appreciative
ruto coward liar must go,-0.743,negative,anger,critical or negative feedback
african continent puppet leader system governers way know corruption looting african continent puppet leader happiest leader world concerned interest youth look citizen engage creating job education job unless know politician government get job must bribe politician happen western world,0.875,positive,anger,supportive or appreciative
istupit president world,0.0,neutral,neutral,supportive or appreciative
need parent rest allow u youth take charge election cleanse mess country🇰🇪✊,-0.1531,negative,neutral,critical or negative feedback
happen nigeria soon,0.0,neutral,joy,supportive or appreciative
applaud kenyan people fighting country ideal way thing people spoke heard sit allow trampled,0.7003,positive,anger,supportive or appreciative
kenya president criminal kenya people 😂,-0.128,negative,anger,sarcastic or humorous
man mad dictator,-0.4939,negative,anger,critical or negative feedback
tuesday wa right day say hi chebukati 😅😅that man downloaded mess kenya uganda stand viva kenyan ruto resign,0.0258,neutral,neutral,critical or negative feedback
history book talk road freedom colonial era real struggle freedom kenya started,0.7964,positive,neutral,informative or analytical
ruto puppet,0.0,neutral,neutral,critical or negative feedback
joke president call citizen criminal claim running democracy tyrant god strip naked overthrow,-0.0258,neutral,anger,sarcastic or humorous
ithink museven waching,0.0,neutral,neutral,question or inquiry
never expected much man whose mentor late moi museveni day numbered let enjoy last cause ai dealing old folk even know good woke youth sugoi si mbali away,0.7269,positive,joy,supportive or appreciative
guy lie time,0.0,neutral,anger,critical or negative feedback
ruto reading civics handout 😅,0.3612,positive,neutral,sarcastic or humorous
